GEOID,NAME,total_pop,pct_nh_white,pct_nh_black,pct_nh_native,pct_nh_asian,pct_hispanic,pct_in_pov,pct_high_school_or_higher,pct_bachelor_or_higher,per_capita_income,median_household_income,median_age,r95_to_r5,r85_to_r15,total_sales,prd,prd_lower_ci,prd_upper_ci,prb,prb_lower_ci,prb_upper_ci,r95rank,r85rank,prdrank,prbrank,density_bin
21103,"Henry County, Kentucky",15677,0.917650061,0.035402182,0.002870447,7.02E-04,0.032149008,0.181531937,0.835656159,0.108970162,23932,50787,41.3,0.516938536,0.640871727,1158,1.1793,1.1341,1.2246,-0.0915,-0.1178,-0.0652,677,480,668,1978,"0-50,000"
42039,"Crawford County, Pennsylvania",86847,0.950579755,0.018676523,5.07E-04,0.00393796,0.01204417,0.144925441,0.883199548,0.204201359,24716,47179,42.8,0.37163685,0.619326815,4738,1.2037,1.178,1.2294,-0.0912,-0.1077,-0.0748,254,415,556,1977,"50,001-250,000"
19093,"Ida County, Iowa",6965,0.959798995,0,0.007178751,0.004450826,0.020674803,0.102906635,0.935755337,0.197249589,30192,51978,44.7,0.496934293,0.625639004,405,1.7804,1.3364,2.2243,-0.0909,-0.1253,-0.0566,613,431,50,1976,"0-50,000"
1053,"Escambia County, Alabama",37621,0.602349751,0.321814944,0.03636267,0.003960554,0.021503947,0.238336451,0.809738956,0.121485944,18164,35026,39.6,0.518417041,0.455491355,287,1.2239,1.1921,1.2556,-0.0907,-0.1697,-0.0117,684,87,483,1974,"0-50,000"
13285,"Troup County, Georgia",69433,0.572508749,0.350539369,4.90E-04,0.018564659,0.036913283,0.213344767,0.835585586,0.185487468,22091,43597,36.2,0.37213641,0.628550568,4436,1.2357,1.2154,1.2561,-0.0907,-0.1068,-0.0745,257,441,443,1974,"50,001-250,000"
18155,"Switzerland County, Indiana",10617,0.95667326,0.008194405,0,0.004709428,0.013939908,0.197230181,0.825813661,0.087023327,21511,43468,40,0.430267275,0.52086138,1020,1.238,1.1757,1.3003,-0.0907,-0.126,-0.0554,393,168,439.5,1974,"0-50,000"
17031,"Cook County, Illinois",5238541,0.426759665,0.234060209,9.96E-04,0.069310138,0.250509445,0.15947683,0.861849367,0.371901949,33722,59426,36.4,0.527128641,0.730726651,552275,1.1448,1.1439,1.1457,-0.0904,-0.0915,-0.0893,718,877,846,1972,"Over 1,000,000"
48083,"Coleman County, Texas",8422,0.773213014,0.027428164,0.007599145,0.008311565,0.173949181,0.202838063,0.819115968,0.143532866,26436,40804,46.6,0.269372163,0.533419934,284,1.4799,1.1778,1.7819,-0.0902,-0.148,-0.0324,106,196,119,1971,"0-50,000"
5001,"Arkansas County, Arkansas",18352,0.701503923,0.260135135,1.63E-04,1.09E-04,0.029588056,0.206994015,0.826049363,0.14093696,23766,38532,40.9,0.500732586,0.711329525,1867,1.4102,1.3322,1.4881,-0.0899,-0.1065,-0.0733,622,782,165,1969,"0-50,000"
5127,"Scott County, Arkansas",10584,0.844860166,0.002078609,0.013227513,0.035430839,0.075113379,0.204525924,0.780064399,0.102057959,18077,37396,41.2,0.335501324,0.627984004,891,1.3353,1.2799,1.3906,-0.0899,-0.119,-0.0609,191,440,257,1969,"0-50,000"
39085,"Lake County, Ohio",229701,0.890971306,0.038132181,0.001014362,0.012237648,0.040496123,0.08320634,0.920548212,0.272258938,32125,61137,43.5,0.691950233,0.790894422,26297,1.05,1.0473,1.0527,-0.0899,-0.094,-0.0858,1399,1233,1757,1969,"50,001-250,000"
5011,"Bradley County, Arkansas",10994,0.558759323,0.291067855,0,0,0.147807895,0.263501702,0.814209827,0.14435591,21575,36310,40.6,0.425307953,0.612535054,1011,1.3319,1.2096,1.4542,-0.0897,-0.1179,-0.0616,377,395,262,1965.5,"0-50,000"
18135,"Randolph County, Indiana",25203,0.938737452,0.006507162,3.97E-04,0.002380669,0.032575487,0.170335896,0.857618938,0.136750172,23427,44985,42.1,0.529369078,0.684624588,1949,1.1733,1.1329,1.2137,-0.0897,-0.1121,-0.0673,727,649,698,1965.5,"0-50,000"
40111,"Okmulgee County, Oklahoma",39121,0.627719128,0.085478388,0.134505764,0.003680888,0.038112523,0.194818653,0.868339649,0.145851056,21436,39567,39.2,0.401065614,0.706518327,3940,1.2466,1.2146,1.2786,-0.0894,-0.1031,-0.0757,320,759,421,1963,"0-50,000"
5047,"Franklin County, Arkansas",17803,0.924170084,0.009717463,0.015727686,0.004830647,0.028815368,0.218912584,0.808938732,0.113053517,19988,39472,41.4,0.476297757,0.663385409,2222,1.2352,1.2184,1.252,-0.0893,-0.1066,-0.0719,550,563,447,1962,"0-50,000"
29067,"Douglas County, Missouri",13391,0.979911881,0.001045478,0.001045478,8.21E-04,0.013815249,0.205722071,0.803964301,0.094126193,18095,33003,47.3,0.292264069,0.569232623,120,1.4256,1.0725,1.7787,-0.0891,-0.1892,0.0111,132,272,158,1961,"0-50,000"
19065,"Fayette County, Iowa",20139,0.941158945,0.012215105,4.47E-04,0.009136501,0.022592979,0.127600268,0.9095557,0.198314971,27020,48412,43.7,0.567041997,0.726251731,1369,1.1983,1.1716,1.2251,-0.089,-0.1066,-0.0713,853,858,573,1960,"0-50,000"
1025,"Clarke County, Alabama",24625,0.530233503,0.456690355,5.69E-04,0.00515736,0.00235533,0.252699516,0.814668164,0.129602269,20765,33827,42.2,0.29379898,0.476602349,850,1.3871,1.3113,1.4629,-0.0886,-0.1296,-0.0476,134,109,200,1957.5,"0-50,000"
51760,"Richmond city, Virginia",220892,0.399833403,0.479320211,0.001611647,0.020607356,0.064932184,0.251923617,0.84536847,0.374607694,30113,42356,33.5,0.591148755,0.745758786,27029,1.0913,1.0875,1.0951,-0.0886,-0.093,-0.0842,941,956,1228.5,1957.5,"50,001-250,000"
51167,"Russell County, Virginia",27725,0.968259693,0.009413886,4.69E-04,0.001045987,0.012696123,0.176427606,0.787560422,0.135740357,21673,40083,44.8,0.503689861,0.550551329,521,1.1719,1.1405,1.2033,-0.0884,-0.1353,-0.0416,625,227,701.5,1956,"0-50,000"
31065,"Furnas County, Nebraska",4814,0.942459493,0.003323639,0,0.001038637,0.036767761,0.135492118,0.890427099,0.182326951,24522,43400,46.1,0.447756037,0.595707513,727,1.4634,1.3003,1.6265,-0.0878,-0.1113,-0.0643,446,333,128,1952,"0-50,000"
12133,"Washington County, Florida",24472,0.776274926,0.153236352,0.011727689,0.003146453,0.035428245,0.210030354,0.804626661,0.112975263,18718,36989,41.9,0.509081117,0.697989401,1636,1.1424,1.1001,1.1846,-0.0875,-0.112,-0.063,646,716,859.5,1950.5,"0-50,000"
18129,"Posey County, Indiana",25599,0.961600063,0.01523497,1.95E-04,0.004336107,0.011094183,0.094812589,0.936451848,0.20691009,30763,60992,42.5,0.562742962,0.798927263,1966,1.0879,1.0784,1.0973,-0.0875,-0.1082,-0.0667,840,1285,1270.5,1950.5,"0-50,000"
36021,"Columbia County, New York",61481,0.869000179,0.042582261,3.42E-04,0.016915795,0.045298548,0.114089347,0.894454774,0.301323417,34737,61093,47.4,0.580315871,0.777100452,6220,1.1303,1.1135,1.147,-0.0872,-0.0954,-0.079,897,1157,934,1949,"50,001-250,000"
13037,"Calhoun County, Georgia",6503,0.324926957,0.604797786,0,0.005382131,0.047977856,0.321693584,0.742804276,0.094366776,13865,29617,38.4,0.513220845,0.438178193,105,1.2156,0.7695,1.6617,-0.0869,-0.1607,-0.0131,660,74,515,1947,"0-50,000"
36039,"Greene County, New York",47791,0.856395556,0.060136846,0.002887573,0.010566843,0.05549162,0.124269497,0.858951381,0.220278228,27402,53214,45.6,0.527142398,0.722041735,4920,1.1226,1.1124,1.1328,-0.0867,-0.0997,-0.0737,719,846,995,1946,"0-50,000"
18059,"Hancock County, Indiana",72776,0.93040288,0.018756183,8.11E-04,0.007694844,0.021889084,0.069911726,0.938575584,0.301123051,31428,70973,40.2,0.713117975,0.79296936,8220,1.0458,1.0446,1.047,-0.0865,-0.0948,-0.0782,1518,1247,1832,1945,"50,001-250,000"
1097,"Mobile County, Alabama",414328,0.575401614,0.352281284,0.00595422,0.019453187,0.02755305,0.193364104,0.862729177,0.230337323,24347,45802,37.3,0.331326081,0.48367877,64557,1.4007,1.3928,1.4086,-0.0861,-0.0919,-0.0804,185,115,177,1944,"250,001-1,000,000"
28127,"Simpson County, Mississippi",27215,0.616204299,0.365386735,1.10E-04,0.002278155,0.005033989,0.271256429,0.792754102,0.132639577,19336,37591,38.9,0.461499097,0.801118875,31,1.1406,1.0233,1.2579,-0.0859,-0.2324,0.0606,487,1303,870,1942.5,"0-50,000"
48169,"Garza County, Texas",6739,0.404511055,0.044516991,8.90E-04,0.005638819,0.539991097,0.134920635,0.580205452,0.101935994,20635,53832,40.1,0.600548704,0.664376213,132,1.1634,1.0527,1.2742,-0.0859,-0.1492,-0.0227,971,568,749,1942.5,"0-50,000"
5029,"Conway County, Arkansas",20954,0.817934523,0.109859693,0.002863415,6.20E-04,0.037987974,0.185372674,0.852235099,0.158457506,22365,39638,41.2,0.527226562,0.693021837,1755,1.1648,1.1418,1.1879,-0.0856,-0.1034,-0.0678,721,693,742.5,1939.5,"0-50,000"
26037,"Clinton County, Michigan",77321,0.902057656,0.016515565,9.31E-04,0.015403319,0.044463988,0.101154595,0.942008271,0.315266899,32792,64903,40.4,0.664543625,0.804715658,7134,1.0541,1.0523,1.0559,-0.0855,-0.0951,-0.0759,1263,1330,1686.5,1937,"50,001-250,000"
49027,"Millard County, Utah",12651,0.83266145,0.00308276,0.010196822,0.008141649,0.129871156,0.11623631,0.896124233,0.214276393,23283,59312,35.5,0.657298558,0.796374494,214,1.0478,1.023,1.0726,-0.0853,-0.1492,-0.0214,1234,1271,1794,1934,"0-50,000"
5059,"Hot Spring County, Arkansas",33480,0.828016726,0.109498208,0.003046595,0.002777778,0.033661888,0.157899783,0.85574778,0.138148756,20868,40626,41.7,0.549103599,0.67695592,3167,1.1356,1.1216,1.1496,-0.0853,-0.0993,-0.0713,793,616,908,1934,"0-50,000"
18117,"Orange County, Indiana",19623,0.95556235,0.012943994,0.001324976,0.005096061,0.01426897,0.150483921,0.833147612,0.11811901,22715,42803,41.3,0.416209959,0.508838882,2400,1.3163,1.2694,1.3631,-0.085,-0.1083,-0.0617,355,154,278.5,1931,"0-50,000"
29185,"St. Clair County, Missouri",9396,0.945083014,0.008514261,0.00734355,0.001915709,0.01042997,0.22179459,0.811177816,0.136363636,20827,35066,50,0.391182251,0.709172155,256,1.2646,1.0552,1.474,-0.0848,-0.1471,-0.0224,298,771,382,1928.5,"0-50,000"
38041,"Hettinger County, North Dakota",2601,0.911572472,0.007304883,0.026143791,0,0.036524414,0.093480935,0.890439276,0.145219638,32544,56118,47.3,0.509159841,0.752054023,123,1.1746,1.1292,1.2201,-0.0848,-0.1868,0.0173,647,992,689,1928.5,"0-50,000"
40091,"McIntosh County, Oklahoma",19874,0.682650699,0.027624031,0.160913757,0.001660461,0.026013887,0.184814266,0.85400651,0.135812729,22241,38163,47,0.462368104,0.690828405,3048,1.188,1.1706,1.2053,-0.0847,-0.1002,-0.0693,491,681,623.5,1926.5,"0-50,000"
5135,"Sharp County, Arkansas",17041,0.938677308,0.004049058,0.004929288,0.004225104,0.021360249,0.233464897,0.827798977,0.104814484,20078,31792,47.3,0.374877146,0.614826083,4137,1.3567,1.2857,1.4277,-0.0843,-0.0982,-0.0705,266,403,228,1924,"0-50,000"
33005,"Cheshire County, New Hampshire",76109,0.945091908,0.00664836,0.001642381,0.012744879,0.017107044,0.102048808,0.9292816,0.325817919,32072,60148,42.5,0.66974171,0.823763551,4051,1.055,1.0498,1.0601,-0.0843,-0.0963,-0.0722,1285,1460,1673,1924,"50,001-250,000"
23025,"Somerset County, Maine",50994,0.959877633,0.004020081,0.00396125,0.003137624,0.010079617,0.177707006,0.877493258,0.166110384,22641,41549,45.8,0.561766057,0.761210588,1253,1.0917,1.0862,1.0973,-0.0843,-0.1126,-0.056,834,1052,1224,1924,"50,001-250,000"
51840,"Winchester city, Virginia",27516,0.670409943,0.097252508,0.002398604,0.020097398,0.168883559,0.125150921,0.835875768,0.325065847,28429,49330,37.6,0.624836564,0.765784605,3069,1.0623,1.0556,1.0689,-0.0842,-0.0997,-0.0687,1078,1088,1571,1922,"0-50,000"
1049,"DeKalb County, Alabama",71194,0.807750653,0.014172543,0.012304408,0.002921595,0.142961486,0.214985706,0.736423869,0.130037321,20020,38842,39,0.473550863,0.600240589,1289,1.1693,1.1483,1.1904,-0.0841,-0.116,-0.0522,543,348,715,1921,"50,001-250,000"
26041,"Delta County, Michigan",36395,0.932106059,0.002637725,0.017996978,0.003626872,0.011952191,0.143581175,0.935708343,0.207321685,25582,44639,46.9,0.516534476,0.607812527,2375,1.1672,1.142,1.1923,-0.084,-0.1025,-0.0655,675,379,728,1920,"0-50,000"
5089,"Marion County, Arkansas",16374,0.946683767,0.001710028,0.010443386,0.004336143,0.021558568,0.195249846,0.861542153,0.160294353,19200,36113,51.8,0.400487164,0.654468483,2461,1.2728,1.248,1.2977,-0.0836,-0.1039,-0.0632,318,529,362.5,1917.5,"0-50,000"
33019,"Sullivan County, New Hampshire",43073,0.954310125,0.004271818,0.003366378,0.006175562,0.014394168,0.093528925,0.907228916,0.259416614,31301,59419,46.1,0.615497638,0.752050047,2373,1.0884,1.0834,1.0933,-0.0834,-0.0974,-0.0693,1038,991,1264.5,1912.5,"0-50,000"
1009,"Blount County, Alabama",57667,0.87365391,0.015242686,0.003346801,0.001456639,0.090120866,0.156333807,0.797846738,0.131019633,22021,47412,40.9,0.436192724,0.5776933,3688,1.2038,1.1478,1.2599,-0.0833,-0.1072,-0.0594,423,291,555,1910.5,"50,001-250,000"
39027,"Clinton County, Ohio",41869,0.934056223,0.021232893,5.73E-04,0.004012515,0.015858989,0.147115432,0.887232594,0.174508188,25238,49997,39.8,0.598908541,0.802574469,2776,1.076,1.0619,1.09,-0.0833,-0.0993,-0.0674,966,1317,1400,1910.5,"0-50,000"
47091,"Johnson County, Tennessee",17846,0.921719153,0.038103777,0.004762972,0.003978483,0.018827749,0.253013561,0.771665802,0.108755282,19183,32994,45.7,0.311356862,0.69283807,2323,1.9248,1.8679,1.9816,-0.0831,-0.1008,-0.0654,156,692,38,1908,"0-50,000"
37065,"Edgecombe County, North Carolina",54032,0.365190998,0.572086911,0.001240006,6.29E-04,0.043270654,0.245869209,0.785412752,0.116131492,18946,32929,40.3,0.391797703,0.46424831,2474,1.3114,1.2726,1.3502,-0.0829,-0.113,-0.0528,300,94,288,1906.5,"50,001-250,000"
42131,"Wyoming County, Pennsylvania",27760,0.957672911,0.006736311,5.76E-04,0.003638329,0.017903458,0.104043246,0.920995065,0.188431602,28046,55965,44,0.521223459,0.695130269,2176,1.1402,1.1166,1.1639,-0.0829,-0.1021,-0.0637,694,705,874,1906.5,"0-50,000"
48285,"Lavaca County, Texas",19859,0.742736291,0.066065764,4.03E-04,0.00372627,0.180925525,0.104687742,0.846024799,0.174033552,29946,51708,43.9,0.493088983,0.65591479,593,1.1953,1.0764,1.3142,-0.0828,-0.1149,-0.0508,604,538,594,1905,"0-50,000"
5057,"Hempstead County, Arkansas",22154,0.551864223,0.294800036,0.00252776,8.58E-04,0.124763022,0.253350409,0.801052559,0.130669621,18817,38701,38.9,0.448072921,0.788491189,1934,1.2221,1.1609,1.2832,-0.0826,-0.098,-0.0671,448,1221,490,1904,"0-50,000"
29111,"Lewis County, Missouri",10078,0.927664219,0.029470133,0.006449692,0.002083747,0.017463782,0.151852645,0.884204094,0.14375191,22083,47148,40.1,0.479709821,0.65426333,48,1.1484,0.9269,1.3699,-0.0825,-0.2206,0.0557,558,527,830.5,1903,"0-50,000"
19197,"Wright County, Iowa",12864,0.867148632,0.004741915,2.33E-04,0.004353234,0.110774254,0.125713832,0.90451195,0.175452312,28200,48935,44.3,0.578499992,0.786674429,549,1.1305,1.0737,1.1873,-0.0822,-0.1083,-0.0562,891,1216,932.5,1902,"0-50,000"
31015,"Boyd County, Nebraska",2049,0.950219619,0.004880429,0.015129331,0.008784773,0.007320644,0.098303393,0.941952507,0.201846966,26413,48750,52.1,0.38144765,0.744314398,106,1.5288,1.278,1.7797,-0.0817,-0.1417,-0.0216,277,949,103,1901,"0-50,000"
1095,"Marshall County, Alabama",94738,0.817697228,0.021997509,0.004633832,0.005636598,0.132998374,0.21004371,0.799819757,0.177270428,22710,41104,38.8,0.420689216,0.627364955,7317,1.319,1.3028,1.3352,-0.0812,-0.0952,-0.0672,369,436,274,1898,"50,001-250,000"
25005,"Bristol County, Massachusetts",557016,0.827938515,0.034744065,3.14E-04,0.021927557,0.073450314,0.121672315,0.843251587,0.273188838,32406,62514,40.9,0.648160807,0.771998113,33865,1.0565,1.0551,1.0579,-0.0812,-0.0863,-0.0761,1186,1119,1647,1898,"250,001-1,000,000"
51139,"Page County, Virginia",23694,0.944669537,0.014560648,0.001392758,0.005697645,0.018696716,0.170005968,0.809545957,0.131736527,24057,46140,45,0.573634985,0.709763043,1479,1.1192,1.08,1.1585,-0.0812,-0.1051,-0.0573,875,773,1018,1898,"0-50,000"
36013,"Chautauqua County, New York",130846,0.877841126,0.023760757,0.003072314,0.005846568,0.072046528,0.184918951,0.885108929,0.212162851,23962,44304,42.3,0.576730233,0.626256203,12384,1.1321,1.1246,1.1397,-0.081,-0.0875,-0.0745,887,434,925,1894,"50,001-250,000"
5065,"Izard County, Arkansas",13521,0.935285852,0.019081429,0.010724059,0.001701058,0.021004364,0.17715507,0.828571429,0.128768473,19737,39135,48,0.472490311,0.647692752,2544,1.2371,1.2151,1.2592,-0.081,-0.0963,-0.0657,534,506,441,1894,"0-50,000"
47151,"Scott County, Tennessee",21949,0.975488633,0.005330539,0.003462572,0,0.008018589,0.26194575,0.780869799,0.083484574,18748,31875,38.7,0.382906226,0.553032837,2140,1.3456,1.3039,1.3873,-0.081,-0.1009,-0.0611,280,233,245,1894,"0-50,000"
12027,"DeSoto County, Florida",35675,0.554505957,0.127904695,0.001625788,0.00168185,0.305171689,0.298729378,0.704679871,0.114912873,17892,35435,40.7,0.493287874,0.694930392,3168,1.1429,1.127,1.1589,-0.0807,-0.1003,-0.0611,606,704,853,1891,"0-50,000"
1111,"Randolph County, Alabama",22530,0.752552153,0.194451842,0.002130493,0.00159787,0.029516201,0.186598735,0.785558548,0.145504681,20983,39485,42.7,0.563943641,0.513886686,238,1.2165,1.1598,1.2731,-0.0805,-0.1622,0.0012,843,161,510,1889.5,"0-50,000"
8115,"Sedgwick County, Colorado",2357,0.825201527,0.012728044,0.005091218,0.015273653,0.11158252,0.170360713,0.907608696,0.207729469,24666,49583,48.4,0.642316802,0.719862861,199,1.2768,0.73,1.8237,-0.0805,-0.1252,-0.0358,1161,832,355,1889.5,"0-50,000"
22049,"Jackson Parish, Louisiana",15952,0.669445838,0.300651956,6.27E-04,0.004764293,0.015734704,0.253849298,0.791473421,0.130039244,20109,36394,40.5,0.274781132,0.841308827,609,1.2108,1.1462,1.2755,-0.0803,-0.1061,-0.0545,112,1594,532,1885.5,"0-50,000"
19109,"Kossuth County, Iowa",15166,0.954569432,0.008110247,9.89E-04,0.005604642,0.022286694,0.1,0.949013004,0.197118533,29949,54868,45.8,0.58800267,0.720216551,1573,1.1299,1.1039,1.1559,-0.0803,-0.0939,-0.0666,930,834,936.5,1885.5,"0-50,000"
54063,"Monroe County, West Virginia",13517,0.963083524,0.006436339,0.005326626,0,0.012502774,0.172279599,0.831045195,0.144603668,22830,36684,47.7,0.327422958,0.537955523,77,1.3853,1.2524,1.5183,-0.0801,-0.1897,0.0296,173,209,202,1884,"0-50,000"
8113,"San Miguel County, Colorado",7804,0.869169657,0.001793952,0.004100461,0.010379293,0.098795489,0.10478272,0.935649495,0.540989218,42015,62243,42,0.258777412,0.754717612,1450,1.2949,1.2754,1.3144,-0.0795,-0.1364,-0.0225,94,1015,323,1880.5,"0-50,000"
29017,"Bollinger County, Missouri",12347,0.965335709,0.004292541,0.006560298,0.004049567,0.012067709,0.19906916,0.797743755,0.094048578,20687,40791,43.9,0.741866281,0.539713635,103,1.1026,1.0441,1.161,-0.0795,-0.1634,0.0043,1671,211,1143.5,1880.5,"0-50,000"
